date,days,state,Biden,Buttigieg,Sanders,Warren
2019-01-06,5,New Hampshire,24.0,11.4,26.0,11.0
2019-01-28,27,New Hampshire,22.0,11.4,17.0,17.0
2019-02-07,37,New Hampshire,21.94,11.4,12.85,8.67
2019-02-20,50,New Hampshire,28.0,11.4,20.0,9.0
2019-02-23,53,New Hampshire,25.0,0.7,26.8,8.7
2019-02-28,58,New Hampshire,15.0,1.0,27.0,4.5
2019-04-29,118,New Hampshire,15.0,1.0,27.0,4.5
2019-04-10,99,New Hampshire,22.9,10.7,15.6,8.7
2019-04-22,111,New Hampshire,15.0,13.0,24.0,4.0
2019-04-29,118,New Hampshire,15.0,13.0,24.0,4.0
2019-04-30,119,New Hampshire,20.05,11.89,12.35,8.39
2019-05-06,125,New Hampshire,34.0,9.7,15.5,9.1
2019-05-07,126,New Hampshire,26.0,12.0,30.0,9.0
2019-05-09,128,New Hampshire,36.0,9.0,18.0,8.0
2019-05-13,132,New Hampshire,36.0,9.0,18.0,8.0
2019-05-23,142,New Hampshire,55.0,14.0,17.0,20.0
2019-06-16,166,New Hampshire,33.0,10.0,20.0,17.0
2019-06-25,175,New Hampshire,24.0,14.0,28.0,21.0
2019-07-11,191,New Hampshire,13.0,14.0,26.0,24.0
2019-07-12,192,New Hampshire,19.0,13.0,20.0,22.0
2019-07-15,195,New Hampshire,20.8,11.5,9.9,16.7
2019-07-16,196,New Hampshire,24.0,10.0,19.0,19.0
2019-07-21,201,New Hampshire,27.0,7.0,20.0,18.0
2019-07-30,210,New Hampshire,21.5,7.9,12.8,15.6
2019-08-06,217,New Hampshire,21.4,5.8,16.8,13.6
2019-08-13,224,New Hampshire,15.0,8.0,21.0,12.0
2019-09-08,250,New Hampshire,26.0,8.0,25.0,27.0
2019-09-10,252,New Hampshire,24.1,10.8,12.9,20.5
2019-09-11,253,New Hampshire,21.2,4.5,28.5,17.2
2019-09-12,254,New Hampshire,22.0,5.0,21.0,15.0
2019-09-24,266,New Hampshire,25.0,10.0,12.0,27.0
2019-09-25,267,New Hampshire,22.33333333333333,6.5,11.666666666666664,28.66666666666667
2019-10-01,273,New Hampshire,24.0,10.0,11.0,25.0
2019-10-13,285,New Hampshire,24.0,7.0,17.0,32.0
2019-10-14,286,New Hampshire,18.2,7.4,9.3,25.4
2019-10-14,286,New Hampshire,21.8,6.75,18.15,22.35
2019-10-29,301,New Hampshire,15.0,10.0,21.0,18.0
2019-11-11,314,New Hampshire,20.0,15.0,14.0,16.0
2019-11-17,320,New Hampshire,22.0,16.0,20.0,31.0
2019-11-19,322,New Hampshire,15.0,25.0,9.0,15.0
2019-11-25,328,New Hampshire,12.0,13.4,15.6,13.8
2019-11-26,329,New Hampshire,13.8,21.9,26.3,13.6
